unix,low,high,open,close,volume,datetime,vol_fiat
1634256000,33.826,38.036,35.101,37.235,345789.067,2021-10-15,12875455.909744998
1634169600,33.872,36.514,35.987,35.099,413530.61,2021-10-14,14514510.880389998
1634083200,29.1,37.447,30.471,35.939,400842.715,2021-10-13,14405886.334385
1633996800,27.776,30.741,29.526,30.457,273012.1,2021-10-12,8315129.5297
1633910400,28.808,31.199,29.784,29.534,172159.629,2021-10-11,5084562.482886
1633824000,29.542,32.352,31.407,29.784,221586.991,2021-10-10,6599746.939944
1633737600,28.518,31.863,28.853,31.353,374670.531,2021-10-09,11747045.158443002
1633651200,28.575,29.825,29.337,28.849,155026.399,2021-10-08,4472356.584751001
1633564800,26.713,30.5,27.808,29.338,252577.048,2021-10-07,7410105.434224
1633478400,25.22,28.541,27.076,27.814,200943.673,2021-10-06,5589047.3208220005
1633392000,26.377,27.721,26.812,27.056,149201.771,2021-10-05,4036803.1161760003
1633305600,25.873,27.608,27.581,26.812,133975.042,2021-10-04,3592138.8261039997
1633219200,26.935,28.16,27.611,27.599,156657.567,2021-10-03,4323592.191633
1633132800,27.176,28.796,27.554,27.581,177722.53,2021-10-02,4901765.09993
1633046400,24.643,27.881,24.717,27.511,272802.174,2021-10-01,7505060.608914
1632960000,23.431,25.012,23.503,24.723,206698.011,2021-09-30,5110194.925953
1632873600,22.368,24.512,22.508,23.496,169771.046,2021-09-29,3988940.496816
1632787200,22.391,24.271,23.73,22.543,166025.786,2021-09-28,3742719.2937979996
1632700800,23.589,25.797,24.538,23.667,230667.678,2021-09-27,5459211.935226001
1632614400,22.9,25.667,25.477,24.649,256792.785,2021-09-26,6329685.357465
1632528000,25.166,27.514,26.327,25.489,196026.031,2021-09-25,4996507.504159
1632441600,23.841,28.567,28.512,26.336,447569.805,2021-09-24,11787198.38448
1632355200,25.949,28.636,27.043,28.522,276194.858,2021-09-23,7877629.739876
1632268800,22.104,27.366,22.485,27.043,513572.04,2021-09-22,13888528.67772
1632182400,21.708,25.915,24.155,22.506,423732.634,2021-09-21,9536526.660804
1632096000,22.733,28.914,28.884,24.179,528606.589,2021-09-20,12781178.715431
1632009600,28.203,29.77,29.743,28.852,148510.156,2021-09-19,4284815.020912
1631923200,27.742,30.61,28.195,29.734,211631.864,2021-09-18,6292661.844176
1631836800,27.483,31.4,30.281,28.191,334391.679,2021-09-17,9426835.822689
1631750400,28.941,31.264,30.894,30.312,253578.056,2021-09-16,7686458.033472001
1631664000,30.121,32.21,31.694,30.894,312850.929,2021-09-15,9665216.600526
1631577600,28.855,32.779,29.395,31.683,466221.351,2021-09-14,14771291.063733
1631491200,26.83,32.195,30.33,29.544,1077915.429,2021-09-13,31845933.434376
1631404800,26.001,30.891,26.672,30.329,526394.517,2021-09-12,15965019.306093
1631318400,23.956,27.2,24.78,26.753,341235.766,2021-09-11,9129080.447798
1631232000,23.63,27.609,25.198,24.745,529129.376,2021-09-10,13093306.40912
1631145600,22.85,26.928,23.517,25.249,504533.812,2021-09-09,12738974.219188
1631059200,21.34,24.402,23.698,23.505,372074.069,2021-09-08,8745600.991845
1630972800,19.001,30.05,28.854,23.645,490563.222,2021-09-07,11599367.38419
1630886400,27.318,29.572,28.955,28.926,187373.971,2021-09-06,5419979.485145999
1630800000,26.943,29.234,27.288,28.956,120241.383,2021-09-05,3481709.4861479998
1630713600,26.973,28.729,28.25,27.253,151806.605,2021-09-04,4137185.406065
1630627200,26.132,28.6,26.786,28.25,402584.819,2021-09-03,11373021.13675
1630540800,26.368,28.037,28.03,26.785,203945.836,2021-09-02,5462689.21726
1630454400,25.02,28.589,26.534,28.016,354242.018,2021-09-01,9924444.376287999
1630368000,21.743,27.065,22.011,26.584,584961.199,2021-08-31,15550608.514216
1630281600,20.654,23.393,21.718,22.053,257006.217,2021-08-30,5667758.103501
1630195200,21.446,22.428,22.043,21.751,95224.212,2021-08-29,2071221.8352120002
1630108800,21.551,22.651,22.441,22.066,86621.965,2021-08-28,1911400.2796899998
1630022400,19.98,22.7,20.312,22.48,210326.194,2021-08-27,4728132.84112
1629936000,19.987,22.439,22.145,20.32,187506.905,2021-08-26,3810140.3096
1629849600,20.861,22.641,21.333,22.095,169348.661,2021-08-25,3741758.6647949996
1629763200,20.73,23.985,23.862,21.359,212249.47,2021-08-24,4533436.42973
1629676800,23.297,24.42,23.661,23.862,99285.884,2021-08-23,2369159.764008
1629590400,22.708,24.378,23.872,23.683,98584.544,2021-08-22,2334777.755552
1629504000,23.52,25.147,24.075,23.829,131435.073,2021-08-21,3131966.3545170003
1629417600,22.328,24.326,22.747,24.039,177139.427,2021-08-20,4258254.685653
1629331200,20.078,22.988,20.401,22.768,234426.633,2021-08-19,5337425.580144
1629244800,19.26,21.532,20.12,20.403,252353.911,2021-08-18,5148776.846132999
1629158400,19.678,23.327,20.745,20.1,306585.593,2021-08-17,6162370.4193
1629072000,19.369,21.848,19.63,20.732,260077.508,2021-08-16,5391926.895856
1628985600,18.522,19.796,19.39,19.652,83547.874,2021-08-15,1641882.819848
1628899200,18.5,19.894,19.256,19.397,89906.834,2021-08-14,1743922.859098
1628812800,17.517,19.269,17.687,19.257,90169.169,2021-08-13,1736387.687433
1628726400,16.963,19.001,18.164,17.687,144518.607,2021-08-12,2556100.602009
1628640000,17.514,19.141,17.576,18.213,212673.519,2021-08-11,3873422.801547
1628553600,17.15,18.291,17.493,17.595,125559.654,2021-08-10,2209222.11213
1628467200,15.924,18.155,16.771,17.535,130374.348,2021-08-09,2286114.19218
1628380800,16.28,17.978,17.73,16.757,84268.942,2021-08-08,1412094.661094
1628294400,17.026,18.469,17.312,17.766,138268.939,2021-08-07,2456485.970274
1628208000,15.666,17.9,16.162,17.344,164319.827,2021-08-06,2849963.079488
1628121600,15.139,16.444,16.137,16.136,133159.949,2021-08-05,2148668.937064
1628035200,14.46,16.549,14.68,16.181,143078.932,2021-08-04,2315160.198692
1627948800,14.172,15.645,15.105,14.668,63459.171,2021-08-03,930819.120228
