unix,low,high,open,close,volume,datetime,vol_fiat
1637539200,23.91397,25.83081,25.79078,24.1172,123222.85,2021-11-22,2971790.1180200004
1637452800,24.61789,25.9837,25.22,25.76272,111219.59,2021-11-21,2865319.1556848
1637366400,24.24891,25.57018,25.14101,25.21823,124418.01,2021-11-20,3137601.9923222996
1637280000,22.99423,25.57462,23.38602,25.13641,199098.72,2021-11-19,5004627.0563952
1637193600,22.75191,26.24999,25.82247,23.39372,400372.79,2021-11-18,9366208.944878798
1637107200,24.83791,26.31,25.77,25.83931,266358.99,2021-11-17,6882532.5138969
1637020800,24.81572,28.18686,28.18515,25.77,522354.33,2021-11-16,13461071.0841
1636934400,28.16406,30.14,29.55172,28.18515,126081.77,2021-11-15,3553633.5997155
1636848000,28.49002,30.13147,29.80294,29.57093,143989.28,2021-11-14,4257896.9196304
1636761600,29.05262,30.22,29.9992,29.77386,131302.61,2021-11-13,3909385.5277745994
1636675200,28.61402,30.99,30.32,29.9611,338990.28,2021-11-12,10156521.678108001
1636588800,29.10478,32.25557,29.77211,30.33,342185.44,2021-11-11,10378484.3952
1636502400,27.86,33.25096,29.19191,29.83734,531756.12,2021-11-10,15866188.1495208
1636416000,27.85,30.69944,29.71183,29.17323,213687.23,2021-11-09,6233946.7088529
1636329600,27.86788,30.05641,27.9968,29.75077,277538.07,2021-11-08,8256971.2868139
1636243200,27.51,28.23,27.7757,28.00733,112126.06,2021-11-07,3140351.5640197997
1636156800,26.68329,28.75,28.43837,27.79,128809.24,2021-11-06,3579608.7796
1636070400,26.59,29.2807,26.84993,28.48963,246351.14,2021-11-05,7018452.8286782
1635984000,26.20748,27.6692,27.48633,26.84395,210319.7,2021-11-04,5645811.510815
1635897600,26.41474,28.30664,27.91879,27.53327,196200.58,2021-11-03,5402043.5432966
1635811200,26.75,28.08267,27.34294,27.9028,152799.03,2021-11-02,4263520.774284
1635724800,25.25953,27.47579,25.92866,27.34294,243316.22,2021-11-01,6652980.8044868
1635638400,24.83937,26.52,25.8,25.98093,208046.73,2021-10-31,5405247.5288589
1635552000,25.25268,26.91,26.7961,25.79,171653.3,2021-10-30,4426938.607
1635465600,25.64,27.51,25.84672,26.78606,208833.78,2021-10-29,5593834.1611068
1635379200,24.71887,26.6,24.94627,25.85911,351333.45,2021-10-28,9085170.3302295
1635292800,24.14215,29.21643,28.0442,24.90157,546272.13,2021-10-27,13603033.6842441
1635206400,26.97643,29.15,27.89023,28.07031,324930.14,2021-10-26,9120889.7581434
1635120000,25.36,28.3459,25.51905,27.90771,376140.69,2021-10-25,10497225.295719901
1635033600,24.7201,27.11,26.98375,25.52724,227815.69,2021-10-24,5815505.7943955995
1634947200,24.31,27.04998,24.67852,26.95983,309404.11,2021-10-23,8341482.2069013
1634860800,24.1,25.81,24.31729,24.62496,323071.83,2021-10-22,7955630.890876801
1634774400,23.33,25.16,23.56585,24.31111,633110.75,2021-10-21,15391625.0854325
1634688000,22.21891,23.7,22.28543,23.56,228004.17,2021-10-20,5371778.2452
1634601600,21.8,22.55,22.14515,22.25664,148584.47,2021-10-19,3306991.0583808003
1634515200,21.77868,22.99565,22.85,22.14209,166081.42,2021-10-18,3677389.7489678003
1634428800,22.13815,23.66,23.34715,22.84,213017.78,2021-10-17,4865326.0952
1634342400,23.16,24.6,23.25343,23.35704,282757.16,2021-10-16,6604370.296406399
1634256000,22.34263,23.56,23.05,23.27,319031.77,2021-10-15,7423869.2879
1634169600,21.88,24.03,22.13,23.04,322279.79,2021-10-14,7425326.3615999995
1634083200,20.92617,22.12669,21.32087,22.12669,232174.94,2021-10-13,5137262.9231486
1633996800,20.37002,21.85189,21.84969,21.33522,313578.01,2021-10-12,6690255.8305122005
1633910400,21.33,23.13652,22.06443,21.8639,228004.47,2021-10-11,4985066.931633
1633824000,22.02094,23.72039,23.7178,22.08592,196265.04,2021-10-10,4334693.972236801
1633737600,22.52502,24.08,22.81928,23.71005,225160.65,2021-10-09,5338570.2695325
1633651200,22.6,23.71953,23.18235,22.81996,244290.71,2021-10-08,5574704.2305716
1633564800,22.37,23.95,23.16821,23.16706,283433.9,2021-10-07,6566330.167334001
1633478400,21.83,24.38697,23.48664,23.15999,295896.78,2021-10-06,6852966.465832201
1633392000,22.59,23.70763,22.90542,23.51285,231224.43,2021-10-05,5436745.3389254995
1633305600,22.02,23.8,23.68,22.90258,233904.58,2021-10-04,5357018.3558164
1633219200,22.83517,24.23795,23.14,23.7256,243691.08,2021-10-03,5781717.087648
1633132800,22.29,23.94505,22.6994,23.16953,242161.99,2021-10-02,5610779.4921647
1633046400,20.38,23.00612,20.7329,22.67431,303428.15,2021-10-01,6880023.9358265
1632960000,19.59,21.01,19.67782,20.73586,198514.43,2021-09-30,4116367.4284598
1632873600,18.85,20.53,18.90369,19.68458,273026.36,2021-09-29,5374409.2255288
