unix,low,high,open,close,volume,datetime,vol_fiat
1633996800,1.7924,1.8794,1.8774,1.8365,10509948.87,2021-10-12,19301521.099755
1633910400,1.8273,1.9442,1.8936,1.8777,8212513.16,2021-10-11,15420635.960532
1633824000,1.8674,1.9659,1.9603,1.8939,5503413.04,2021-10-10,10422913.956456
1633737600,1.9197,1.9858,1.9358,1.959,11278833.09,2021-10-09,22095234.023310002
1633651200,1.9143,1.9981,1.967,1.936,5737836.96,2021-10-08,11108452.354559999
1633564800,1.8585,2.0556,1.9097,1.9686,9557941.54,2021-10-07,18815763.715644
1633478400,1.8296,1.9459,1.9262,1.9078,8592174.91,2021-10-06,16392151.293298
1633392000,1.8771,1.946,1.8847,1.9258,5227244.64,2021-10-05,10066627.727712
1633305600,1.8509,1.9392,1.9372,1.8873,6624302.25,2021-10-04,12502045.636425
1633219200,1.9128,1.9862,1.9363,1.9383,6141346.65,2021-10-03,11903772.211695
1633132800,1.8924,2.0008,1.9446,1.934,5594557.67,2021-10-02,10819874.53378
1633046400,1.8087,1.9604,1.8278,1.9436,7824242.2,2021-10-01,15207197.13992
1632960000,1.7692,1.8453,1.7803,1.8277,5268349.34,2021-09-30,9628962.088718
1632873600,1.7328,1.8399,1.7447,1.7813,6776345.72,2021-09-29,12070704.631036
1632787200,1.7384,1.8587,1.8221,1.7439,7235809.98,2021-09-28,12618529.024122002
1632700800,1.822,1.9436,1.8829,1.8222,6746733.13,2021-09-27,12293897.109486
1632614400,1.8381,1.9658,1.9651,1.8843,7673337.02,2021-09-26,14458868.946786
1632528000,1.9125,2.1016,1.9466,1.9656,11327083.72,2021-09-25,22264515.760032002
1632441600,1.7608,1.9982,1.9823,1.9455,18309891.86,2021-09-24,35621894.61363
1632355200,1.8624,1.9987,1.9328,1.9845,8845395.38,2021-09-23,17553687.131610002
1632268800,1.68,1.9416,1.6946,1.9336,16230584.13,2021-09-22,31383457.473768
1632182400,1.6304,1.9,1.7747,1.6935,20949409.43,2021-09-21,35477824.869705
1632096000,1.6879,1.9552,1.9473,1.7757,31064535.89,2021-09-20,55161296.379873
1632009600,1.93,2.0465,2.0229,1.9475,6582801.86,2021-09-19,12820006.62235
1631923200,1.9721,2.0807,2.0057,2.023,5710261.89,2021-09-18,11551859.80347
1631836800,1.9752,2.0741,2.0547,2.0061,7785401.83,2021-09-17,15618294.611163
1631750400,2.0239,2.1436,2.1186,2.0546,11143421.07,2021-09-16,22895272.930422004
1631664000,1.9956,2.1861,2.0317,2.1181,11678677.15,2021-09-15,24736606.071415003
1631577600,1.9645,2.063,2.0342,2.0324,9594216.11,2021-09-14,19499284.821964
1631491200,1.9627,2.1946,2.1841,2.0338,17011593.28,2021-09-13,34598178.412864
1631404800,2.1186,2.361,2.2347,2.1878,16942947.35,2021-09-12,37067780.212330006
1631318400,2.0077,2.372,2.0199,2.2344,17986543.1,2021-09-11,40189131.90264
1631232000,1.9256,2.1879,2.1286,2.0198,17413084.3,2021-09-10,35170947.66914
1631145600,2.0211,2.2199,2.09,2.1277,20273486.43,2021-09-09,43135897.077111
1631059200,1.8602,2.1691,2.1351,2.09,19142485.86,2021-09-08,40007795.447399996
1630972800,1.71,2.4211,2.3894,2.1287,26990429.58,2021-09-07,57454527.44694599
1630886400,2.3625,2.4621,2.4474,2.3872,8420555.35,2021-09-06,20101549.73152
1630800000,2.3771,2.4864,2.3844,2.4475,6738176.89,2021-09-05,16491687.938274998
1630713600,2.36,2.4968,2.496,2.3839,10089708.59,2021-09-04,24052856.307701003
1630627200,2.4462,2.5525,2.494,2.496,7826786.75,2021-09-03,19535659.728
1630540800,2.396,2.6183,2.4227,2.4961,14126819.38,2021-09-02,35261953.854418
1630454400,2.3086,2.451,2.3455,2.4228,7668167.93,2021-09-01,18578437.260804
1630368000,2.2923,2.4329,2.3182,2.3454,6165333.87,2021-08-31,14460174.058698
1630281600,2.31,2.4463,2.4175,2.3186,7401937.28,2021-08-30,17162131.777408
1630195200,2.311,2.49,2.4147,2.4186,6940014.17,2021-08-29,16785118.271562
1630108800,2.3524,2.5022,2.4974,2.4143,6388759.39,2021-08-28,15424381.795276998
1630022400,2.1257,2.4999,2.1526,2.4979,12629351.11,2021-08-27,31546856.137668997
1629936000,2.1007,2.3661,2.3283,2.1526,11207676.97,2021-08-26,24125645.445622
1629849600,2.2154,2.3831,2.3138,2.3279,10988605.55,2021-08-25,25580374.859845
1629763200,2.2017,2.511,2.484,2.314,20925877.83,2021-08-24,48422481.29862
1629676800,2.2977,2.53,2.3148,2.4852,16163689.37,2021-08-23,40170000.82232399
1629590400,2.0781,2.3268,2.08,2.3163,8990955.32,2021-08-22,20825749.807716
1629504000,2.0402,2.163,2.1,2.0807,5527584.61,2021-08-21,11501245.298027001
1629417600,2.0278,2.2095,2.0899,2.0988,18196609.61,2021-08-20,38191044.249468006
1629331200,1.7514,2.0975,1.7983,2.0879,16881720.28,2021-08-19,35247343.772612
1629244800,1.601,1.8495,1.6433,1.7996,10772515.45,2021-08-18,19386218.80382
1629158400,1.6302,1.8193,1.7591,1.643,10144794.09,2021-08-17,16667896.68987
1629072000,1.7385,1.8639,1.8391,1.7604,7183669.72,2021-08-16,12646132.175088
1628985600,1.7244,1.9059,1.855,1.8387,8017863.72,2021-08-15,14742446.021963999
1628899200,1.7681,1.907,1.8111,1.8556,11727762.83,2021-08-14,21762036.707348
1628812800,1.5542,1.8201,1.5624,1.809,14876283.63,2021-08-13,26911197.08667
1628726400,1.4308,1.5918,1.5278,1.5617,12570879.85,2021-08-12,19631943.061745
1628640000,1.3723,1.6165,1.4315,1.5286,13802835.91,2021-08-11,21099014.972025998
1628553600,1.2427,1.4527,1.2554,1.4324,9021309.26,2021-08-10,12922123.384023998
1628467200,1.1864,1.2778,1.215,1.2561,4344977.28,2021-08-09,5457725.961408
1628380800,1.1923,1.2697,1.2493,1.2133,3880077.7,2021-08-08,4707698.273410001
1628294400,1.1853,1.265,1.1914,1.2493,5106368.66,2021-08-07,6379386.366938001
